gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
LYPD1,0,9.601380124273773e-65,-2.2079104405074848,0.014,0.8,1.7794237784316582e-60
CDH6,0,9.436909440295095e-47,-0.6745537709919772,0.005,0.533,1.74894242656989e-42
AKAP12,0,1.9466476795387773e-39,-1.0018305387763404,0.037,0.7,3.607722144489216e-35
HEY1,0,2.0619733725066004e-35,-0.8890313327666213,0.056,0.767,3.8214552512664825e-31
DAPL1,0,7.695656501772651e-35,-1.110568748778193,0.023,0.567,1.4262360194735253e-30
PTTG1,0,5.739387115127536e-32,-0.8686818959522278,0.033,0.6,1.0636806140465862e-27
WFDC2,0,2.4060952375635604e-31,-0.31453817257458894,0.007,0.4,4.459216303776546e-27
HEY2,0,6.9928220957565205e-31,-0.3253903992262666,0.005,0.367,1.295979719006556e-26
PPP1R1A,0,1.0469188333561545e-30,-0.27033952540125195,0.005,0.367,1.9402546738589612e-26
GAS7,0,1.8594458647116746e-30,-0.25483488233741264,0.005,0.367,3.4461110210701464e-26
NDUFA4L2,0,2.2940659833532766e-30,-0.8585053279312214,0.002,0.333,4.2515924869486277e-26
BMP4,0,7.628730253970147e-30,-0.5901909690240694,0.037,0.6,1.4138325779682873e-25
WDR86,0,2.682220894877193e-29,-0.6438576352480586,0.04,0.6,4.970959984475902e-25
IFITM1,0,2.087849739960658e-28,-0.362662088370449,0.014,0.433,3.869411923069087e-24
SLC1A6,0,5.180339883901375e-27,-0.3273301402482079,0,0.267,9.600723906834418e-23
CLU,0,9.24533622498341e-27,-0.5215992209562516,0.033,0.533,1.7134381625761756e-22
COL2A1,0,1.2232761338877093e-26,-0.49424648452499287,0.051,0.633,2.2670976589340917e-22
TMEM97,0,2.4856149923989072e-25,-0.37723396988690006,0.061,0.667,4.606590265412895e-21
JPH4,0,2.6837785477318295e-25,-0.3177554317546315,0.019,0.433,4.9738467825113996e-21
C4orf48,0,1.4409845894019259e-24,-0.6998129196958984,0.121,0.833,2.6705767395385893e-20
CLDN11,0,3.0486590663856836e-24,-0.42920647387358046,0.016,0.4,5.650079847732587e-20
B4GALNT4,0,7.129897797186024e-24,-0.17901227387653137,0.002,0.267,1.3213839587524858e-19
TRIM43,0,8.658090234869256e-24,-0.20869331692230847,0,0.233,1.6046038632283192e-19
PRR7,0,4.058800464992169e-23,-0.22374420482242896,0.009,0.333,7.522174901769987e-19
EVA1A,0,4.179747648674256e-23,-0.3909659593066069,0.023,0.433,7.7463263172879985e-19
HLA-DPB1,0,1.0493270362604371e-22,-0.2672210280342552,0.019,0.4,1.944717796301468e-18
BCAT1,0,1.170604711711687e-22,-0.2317829697406496,0.014,0.367,2.1694817122152697e-18
CD24,0,1.5508662704289331e-22,-0.7727808989883844,0.054,0.567,2.8742204589859418e-18
