Gene,Prop0,Mean0,Prop1,Mean1,Prop2,Mean2,Prop3,Mean3,Prop4,Mean4
FAM87B,0.002183406113537118,0.001502688309385491,0,0,0,0,0,0,0.013157894736842105,0.007049879306066281
LINC00115,0.05240174672489083,0.06906057418475749,0.029900332225913623,0.021421399318475302,0.03488372093023256,0.02201061656586094,0.03389830508474576,0.013529504559243274,0.039473684210526314,0.011314433920902714
FAM41C,0.015283842794759825,0.02538112240680589,0.053156146179401995,0.037834926896519634,0.03488372093023256,0.03063858859026628,0.025423728813559324,0.019154264216490163,0.10526315789473684,0.06920306722580345
SAMD11,0.8449781659388647,4.8177992549801045,0.3289036544850498,0.6370481660518182,0.36046511627906974,0.39079398152852907,0.3220338983050847,0.3688300713273767,0.21052631578947367,0.1479811359963252
NOC2L,0.4279475982532751,0.7308937255222502,0.48172757475083056,0.5056771833306024,0.5755813953488372,0.5260159588576848,0.4491525423728814,0.46404637870194637,0.5394736842105263,0.41461369092582223
KLHL17,0.010917030567685589,0.020323650786784515,0.019933554817275746,0.010664386979766705,0.040697674418604654,0.014812389107643814,0.03389830508474576,0.01377690812244294,0.039473684210526314,0.00804731444123276
PLEKHN1,0.002183406113537118,0.0010371490184006831,0.0033222591362126247,8.120897424132546e-4,0.005813953488372093,0.004092028074586214,0,0,0.02631578947368421,0.01572214185233781
HES4,0.6572052401746725,2.2297600397269894,0.9601328903654485,7.13041824352934,0.7616279069767442,4.065953173741635,0.7796610169491526,3.6359736862118446,0.6578947368421053,1.864955637356735
ISG15,0.14410480349344978,0.2079181937416861,0.2425249169435216,0.2095762675432146,0.37790697674418605,0.29866006678648793,0.22033898305084745,0.20396471709624203,0.5131578947368421,0.46890285588743363
AGRN,0.6986899563318777,1.9769541226969134,0.8006644518272426,2.1367382798502206,0.5058139534883721,0.5700328858952731,0.6101694915254238,0.8652000554518441,0.4342105263157895,0.42650956803049184
C1orf159,0.039301310043668124,0.05716892203427754,0.09966777408637874,0.06538553291006914,0.12209302325581395,0.0768556384940135,0.13559322033898305,0.07825979924761939,0.09210526315789473,0.06984371158098236
TTLL10,0,0,0.023255813953488372,0.006896023919568965,0.029069767441860465,0.012352252173085844,0.06779661016949153,0.06934082181905882,0.039473684210526314,0.019363029870595325
TNFRSF18,0.002183406113537118,0.0026607434968768193,0.026578073089700997,0.01450515477706341,0.03488372093023256,0.0117499859025889,0.03389830508474576,0.020940361296987665,0.039473684210526314,0.021331599212933223
TNFRSF4,0.015283842794759825,0.02293015965142012,0.05647840531561462,0.030541776407043076,0.0755813953488372,0.04946282769598242,0.15254237288135594,0.07330904257233627,0.05263157894736842,0.02324518799826114
SDF4,0.5698689956331878,1.2060171215506132,0.7308970099667774,1.2560185507069732,0.5988372093023255,0.6900261087521014,0.6271186440677966,0.8773478975382013,0.6973684210526315,0.8605845656642868
B3GALT6,0.08296943231441048,0.09339330143967026,0.1461794019933555,0.10473677800492949,0.1686046511627907,0.10732133471269655,0.13559322033898305,0.07983722766307245,0.15789473684210525,0.07199591150999864
C1QTNF12,0.11572052401746726,0.14870200317286303,0.23588039867109634,0.29554800520608304,0.29651162790697677,0.30202957101827327,0.8135593220338984,2.255945238607941,0.2631578947368421,0.532849116661848
UBE2J2,0.4388646288209607,0.7447398049930746,0.5980066445182725,0.7867227785578499,0.6686046511627907,0.772551853286134,0.6440677966101694,0.8090320420754525,0.5789473684210527,0.48261971200177334
