gene,cluster,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TCF21,0,1.7493305600274323e-132,1.5730554517041635,0.969,0.433,3.24203432689884e-128
TPPP3,0,1.079750335394802e-126,1.5309643992719346,0.941,0.457,2.0011012965871866e-122
SBSPON,0,8.06203956715945e-123,1.3837360976565622,0.932,0.339,1.494137792981661e-118
MPP5,0,7.702643223729739e-122,1.408000167907169,0.952,0.507,1.4275308686538325e-117
MME,0,1.6436837253121494e-121,1.504093729946544,0.865,0.24,3.0462390481210066e-117
THSD7A,0,2.2406262976607306e-119,1.4833822722406675,0.913,0.372,4.152552717454632e-115
CPXM1,0,1.0541979830573084e-117,1.3207565716153336,0.985,0.751,1.9537451220001095e-113
S100A6,0,1.1387542395330477e-114,1.4408347210831591,0.993,0.849,2.1104532321265973e-110
SAMD11,0,2.828295071560262e-113,1.37540820216545,0.845,0.322,5.241679256122634e-109
NTNG1,0,1.0939505046427215e-110,1.28732684287105,0.801,0.189,2.0274184702543558e-106
GADD45A,0,2.9665696486462646e-105,1.294412002724942,0.937,0.556,5.497943529836122e-101
ST6GALNAC3,0,3.720560246107438e-104,1.2695698259471244,0.886,0.373,6.895314304110914e-100
DDN,0,1.8292754991652227e-98,1.2243006079797647,0.828,0.249,3.390196282602907e-94
PODXL,0,4.439414041066247e-98,1.1867110523269937,0.98,0.531,8.227566042308075e-94
PAX8,0,5.308373733574793e-97,-1.0824609556189608,0.253,0.85,9.838009040434164e-93
DUSP23,0,6.207394148868829e-97,1.1220882492160305,0.978,0.748,1.15041635760986e-92
ENPEP,0,1.328248247603298e-95,1.1636086666612533,0.777,0.25,2.461642477283192e-91
CLIC5,0,6.193114183241353e-88,1.0050127419709396,0.974,0.538,1.14776985158012e-83
SDC2,0,8.443355663890855e-88,1.036603855199415,0.959,0.723,1.564807105188892e-83
ITM2B,0,8.793525471304343e-87,0.9404850853447462,0.996,0.964,1.629704075596834e-82
ARHGEF3,0,1.1333846208155496e-86,1.0067468419523815,0.869,0.399,2.1005017177574582e-82
RPS19,0,4.8825990839958525e-86,-0.7346582531450769,1,1,9.048920882369513e-82
MAFB,0,1.0912219296304449e-85,0.966191894129528,0.989,0.667,2.0223616021841035e-81
PTH1R,0,1.3721065805640904e-85,0.9864393902517661,0.819,0.37,2.542925125759429e-81
AKAP12,0,1.8150890278984147e-85,-0.992293270512104,0.081,0.7,3.3639044954041317e-81
RPS23,0,5.483009184404782e-83,-0.5529646376498092,1,1,1.0161660921457382e-78
RPS2,0,2.1910296657429284e-82,-0.8694729740779934,1,1,4.0606352795213693e-78
TPM1,0,8.623490412282534e-81,-0.9077957649406796,0.201,0.805,1.598191478108322e-76
ANXA2,0,1.1060482199533835e-80,0.7894393391029153,0.976,0.873,2.0498391660396057e-76
