gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TNNI1,7.875481712930708e-9,1.6333443036042796,0.72,0.361,1.4815356198365247e-4
TUBA1A,1.0102039927704126e-10,1.4960723496743704,0.72,0.262,1.9003957511997003e-6
TNNT2,2.318849554959421e-9,1.4936775565470546,0.64,0.236,4.3622197827896625e-5
HMGCS1,2.2190005250118204e-5,1.4674721301705642,0.6,0.35,0.41743837876522366
COL9A1,6.970448368731292e-22,1.34070073833415,0.44,0.025,1.3112807471257306e-17
MSMO1,3.1434220991210495e-6,1.301271783461294,0.68,0.424,0.059134056528665185
COL4A4,1.6057788353309336e-8,1.2345333980271462,0.56,0.181,3.020791145024552e-4
CD9,2.5570320467920097e-11,1.174156555008287,0.48,0.088,4.810288686425129e-7
INSIG1,0.00137572410278996,1.145385746350676,0.52,0.356,1
TUBA1B,3.3494096686681886e-9,1.1116612323555144,0.92,0.84,6.300909468698596e-5
STMN1,4.672929981683192e-10,0.9922239876372345,1,0.912,8.790715881542421e-6
SQLE,0.08717160295279561,0.9446569632516478,0.44,0.435,1
TSPAN4,0.0019072405641549826,0.9123176819149096,0.52,0.352,1
PCDH9,2.802827413819058e-4,0.8994365909207455,0.32,0.106,1
PC,0.0036526130925497464,0.898017131489665,0.32,0.144,1
SOX4,0.004788614300326365,0.8967859256301042,0.48,0.329,1
IDI1,0.002452865553678736,0.8938251324776783,0.6,0.512,1
DUSP3,0.05489237963299575,0.8911709501128158,0.36,0.278,1
EFEMP1,0.02290616362942221,0.8683132906686666,0.36,0.231,1
MRGPRF,0.03446061002632678,0.8661064126267415,0.56,0.648,1
NFASC,2.7090692530651167e-9,0.8622414245339483,0.28,0.032,5.096301078866097e-5
DHCR7,4.978867321911534e-5,0.8583836940492184,0.36,0.118,0.9366245205979978
CA2,7.58149578443509e-7,0.8549469957952972,0.24,0.035,0.014262309869679293
FDFT1,0.20042602386857508,0.8414124035947442,0.36,0.352,1
TSPAN2,0.03670793686526053,0.8316383510711662,0.4,0.296,1
CTNNA1,0.002963175256329648,0.8302024261533486,0.6,0.544,1
RSBN1L,1.913020412699363e-5,0.8193434924223187,0.64,0.389,0.3598774000370042
SEPHS2,2.9168748240444147e-13,0.8075128449569198,0.24,0.012,5.4872249189923526e-9
CYB5A,9.053509167694513e-4,0.8045643455180471,0.56,0.391,1
COPS3,0.0021087637405052526,0.796239812809401,0.48,0.31,1
RGS3,4.1075690613389385e-4,0.7908168040603146,0.52,0.315,1
CPNE3,0.05719951640477862,0.7876776317261086,0.44,0.391,1
PGK1,1.5541382971702002e-4,0.7849800890455777,0.68,0.532,1
EPCAM,3.4802139935035927e-10,0.782273394266363,0.28,0.028,6.546978564578959e-6
