gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
PAX8,6.934303788234169e-6,1.8347743574582887,0.605,0.04,0.1304481228642612
CCND1,1.950280158714739e-5,1.5308360848122404,0.605,0.04,0.3668867034574167
TPM1,3.3349631632617976e-5,1.5235289421441522,0.763,0.28,0.6273732702728093
CENPF,0.003899904875650261,1.3042378350855972,0.342,0.04,1
IGF2,2.210542661136945e-4,1.2461488238928968,0.474,0.04,1
AKAP12,1.5386265483178984e-4,1.2344801672477739,0.5,0.04,1
CXCL1,0.03988307556833399,1.218613034553301,0.158,0,1
LYPD1,0.0011813406079251524,1.2040976137498107,0.5,0.12,1
VCAN,1.384998141969757e-4,1.1261797593350737,0.447,0,1
CADM1,3.7457875866604533e-4,1.0859542550328825,0.632,0.16,1
ADAMTS1,2.4751567525655994e-4,1.022909386627312,0.421,0,1
HMGB2,0.09400969021310242,0.9906474764929133,0.395,0.24,1
NFKBIA,0.007544668417427629,0.9903248164740291,0.316,0.04,1
OLFM3,0.03419359778638722,0.981871350418623,0.553,0.36,1
CDH6,0.009719773573454493,0.936701561146448,0.237,0,1
CYP1B1,0.13200546291912776,0.9077515694660622,0.158,0.04,1
CLDN1,0.015998351443115684,0.9051165782636965,0.289,0.04,1
NBAS,0.0036252817346234794,0.8968227571821192,0.289,0,1
DCDC2,0.037106633227715735,0.8923434919659112,0.447,0.24,1
QPRT,0.007046044976346964,0.8859078781919061,0.553,0.24,1
RPS10,0.0012978328324693997,0.883490227612399,0.579,0.2,1
ACAT1,0.015679651239391496,0.8271808847766629,0.211,0,1
PRKDC,0.012007518468343624,0.8251500090334307,0.447,0.16,1
TMSB15A,0.0410692532958747,0.8026021535436347,0.237,0.04,1
NRP1,0.009719773573454493,0.787537647588739,0.237,0,1
LYRM4,0.0036252817346234794,0.7772144058738256,0.289,0,1
PLK2,0.009719773573454493,0.7655878895820499,0.237,0,1
EPB41L2,0.031298767572839274,0.7639700570281336,0.237,0.04,1
CTGF,0.020989934910641373,0.7621938532979379,0.5,0.2,1
LRP2,0.009719773573454493,0.7444842081826275,0.237,0,1
G3BP1,0.006723529783207319,0.7426772952928817,0.553,0.24,1
S100A10,0.10282698347763657,0.7392320268130556,0.289,0.12,1
KCNMB2,0.011342578924401749,0.7352596313596585,0.289,0.04,1
NUSAP1,0.09992651922414067,0.7346836632218849,0.105,0,1
CCSER1,0.015679651239391496,0.7321698162690935,0.211,0,1
MRPL24,0.0036252817346234794,0.7242199145039493,0.289,0,1
SLC37A4,0.006641216286633328,0.7223247863019864,0.395,0.08,1
ZFP36,0.19607291974282826,0.7148594544702068,0.184,0.08,1
NREP,0.010077332104109453,0.7077236652964967,0.5,0.16,1
RBP1,0.002714069449817306,0.7069837099362982,0.579,0.2,1
IL17RD,0.009719773573454493,0.706118818502842,0.237,0,1
PTRHD1,0.0168519829164557,0.7059767651971799,0.421,0.16,1
TOP1,0.004518193674825503,0.703252955358066,0.553,0.2,1
SMS,0.009221711191493544,0.7004143176487393,0.421,0.12,1
DPM2,0.009532645699061688,0.6990989590265891,0.316,0.04,1
PRPF38B,0.010230779984651588,0.692822845329985,0.526,0.2,1
PPP3CA,0.02508768499565682,0.6919748607816992,0.184,0,1
SELENOH,0.013854297986941348,0.6906588254260276,0.553,0.24,1
CDH11,0.00848674042181193,0.6899046627756192,0.316,0.04,1
ADSL,0.010097514177350131,0.6848723219708422,0.316,0.04,1
MINOS1,0.0054159853166097505,0.6841751397856604,0.474,0.16,1
LRRIQ1,0.015679651239391496,0.6839270056165695,0.211,0,1
