gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
RPS17,0,3.4253703268747846,1,0.161,0
H3F3A,0,3.248631920056261,0.999,0.046,0
RPL39,0,3.1539170986440004,0.999,0.302,0
RPL41,0,3.053994844928296,1,0.605,0
EEF1A1,0,2.7175009598383926,1,0.851,0
HMGN2,0,2.1124227284416364,0.983,0.179,0
YBX1,0,2.0401865787253555,0.996,0.278,0
RPS26,0,1.9731685601102453,1,0.493,0
MARCKS,0,1.9577756149009027,0.896,0,0
MARCKSL1,0,1.7289987018917028,0.977,0.38,0
RPS29,0,1.691701293950818,0.999,0.793,0
RPS10,0,1.5996400732229663,0.997,0.623,0
PTMS,0,1.4371321816691593,0.947,0.158,0
RPL36A,0,1.405117290400662,0.98,0.555,0
CRABP1,0,1.401423524660789,0.605,0.167,0
ATP5F1D,0,1.3922621219678284,0.92,0.016,0
MRPS21,0,1.357940026945109,0.903,0,0
RPL22,0,1.3356364780378949,0.999,0.732,0
NME4,0,1.281658606268535,0.922,0.163,0
RPL17,0,1.2339073472065036,0.967,0.339,0
HMGA2,0,1.2180118064955967,0.868,0.267,0
NBDY,0,1.2075268806393695,0.846,0,0
SNRPN,0,1.1950188160237785,0.852,0.011,0
GABPB1-AS1,0,1.1941267363191743,0.8,0,0
PPDPF,0,1.1887265124349429,0.988,0.537,0
CD24,0,1.1488192234521009,0.417,0,0
KRT10,0,1.147625914901694,0.87,0.041,0
HNRNPA1,0,1.1220160894357072,0.998,0.952,0
RPS28,0,1.079516694192348,1,0.902,0
RBM8A,0,1.073468554457165,0.809,0,0
RCN2,0,1.0548814011373342,0.863,0.1,0
SRSF9,0,1.0388521181507093,0.862,0.071,0
GTF2I,0,1.011518145514513,0.782,0,0
HMGA1,0,0.9908844691940109,0.758,0.125,0
BANF1,0,0.9842769197760475,0.933,0.221,0
MEST,0,0.9754368439518442,0.855,0.386,0
PSMB3,0,0.9672992783693495,0.778,0,0
TXNIP,0,0.9620821848838708,0.606,0,0
MFAP2,0,0.9619887108289489,0.714,0.004,0
PGAM1,0,0.9554779421708732,0.784,0.047,0
TMSB10,0,0.9523038758352804,0.998,0.958,0
ATP5ME,0,0.9367733382613079,0.937,0.328,0
HES4,0,0.928855999237463,0.484,0,0
PRRX1,0,0.9246956559962892,0.508,0.052,0
DNM3OS,0,0.9184675726317209,0.64,0.034,0
PRELID1,0,0.8970317714426737,0.879,0.181,0
NPW,0,0.8848264950100332,0.514,0.016,0
RAC1,0,0.8792685090948361,0.889,0.247,0
MCRIP1,0,0.8649125130377542,0.728,0.005,0
ELOB,0,0.8581371633457051,0.988,0.565,0
RPL36,0,0.856366958495701,0.999,0.913,0
EBPL,0,0.8531824969698014,0.733,0.026,0
POLR2L,0,0.8347161197291864,0.925,0.35,0
MT-CO1,0,0.8117803525097966,0.998,0.991,0
C1QBP,0,0.8052760031128864,0.741,0.038,0
ODC1,0,0.8042253010563212,0.654,0.064,0
MT-CO2,0,0.7954244405954296,0.996,0.964,0
POLR2J3,0,0.7887919609478431,0.758,0.076,0
GCSH,0,0.7880036796619168,0.708,0.031,0
TMA7,0,0.7859614330783022,0.992,0.681,0
MXRA8,0,0.7830026063809075,0.511,0.031,0
C4orf48,0,0.7821422124680489,0.557,0.002,0
BTG1,0,0.7816176473346436,0.856,0.266,0
COL9A2,0,0.7696791036996173,0.474,0.06,0
NOP53,0,0.7652671318271447,0.959,0.48,0
COX6A1,0,0.7631686963882922,0.98,0.474,0
ZNF580,0,0.7601389567158957,0.68,0.017,0
RPL37A,0,0.7525230299497494,1,0.971,0
PNRC1,0,0.7447279991240405,0.768,0.141,0
LOXL1,0,0.7369528650010975,0.575,0.013,0
TRAPPC1,0,0.7368071949486438,0.889,0.24,0
PNRC2,0,0.7365211166043122,0.661,0.021,0
CENPV,0,0.7364345375766792,0.528,0.016,0
RPL7,0,0.7229358627171707,1,0.985,0
MT-ND3,0,0.7197533519792665,0.99,0.841,0
SSU72,0,0.7196148045295151,0.79,0.125,0
NDUFAF8,0,0.7087601451615406,0.66,0.027,0
TMEM160,0,0.7073668388296234,0.677,0.035,0
CHCHD10,0,0.7054455705592418,0.586,0.005,0
NDUFA13,0,0.7052762118207994,0.919,0.32,0
METTL9,0,0.7046344803766607,0.883,0.264,0
DRAP1,0,0.7032424568512083,0.835,0.17,0
RPL38,0,0.698887706486687,0.997,0.896,0
YWHAH,0,0.6965542637877251,0.683,0.094,0
CCDC144NL-AS1,0,0.6956692384831803,0.592,0.002,0
RPS27,0,0.6928351885059034,1,0.986,0
RPL37,0,0.6887864410210476,0.999,0.96,0
NDUFA3,0,0.6839351795107151,0.737,0.113,0
ATP5MD,0,0.6780755187756851,0.94,0.432,0
ARMCX6,0,0.67588781097597,0.604,0.006,0
CTHRC1,0,0.6742795501914646,0.586,0.076,0
PFN1,0,0.67165630355335,0.989,0.698,0
PPIA,0,0.6559593727313044,0.996,0.767,0
NDN,0,0.6536394890150854,0.627,0.031,0
ZFHX4,0,0.6519769187591475,0.455,0.064,0
RPS21,0,0.6487351891365747,0.989,0.812,0
PSMC1,0,0.6465622305252076,0.644,0.042,0
ATP5MF,0,0.6393624864189311,0.932,0.379,0
PET100,0,0.6371706311144015,0.706,0.098,0
TAF9,0,0.6265315088876448,0.566,0,0
CDC26,0,0.6235927130432927,0.577,0.003,0
MDFI,0,0.6162931916886842,0.781,0.244,0
APOE,0,0.6134113098814113,0.404,0.006,0
NDUFA11,0,0.6099309933986616,0.969,0.514,0
DYNC1I2,0,0.604914058962124,0.799,0.196,0
OST4,0,0.6036737667050236,0.982,0.651,0
EPN1,0,0.593583758250159,0.62,0.041,0
MTCH1,0,0.5927884976770839,0.834,0.252,0
BOD1,0,0.5924376522102367,0.677,0.085,0
RPL21,0,0.5900592688820909,1,0.995,0
NUDT4,0,0.5877582500084202,0.549,0.014,0
ROMO1,0,0.5868178736897289,0.775,0.184,0
STUB1,0,0.5860885783501676,0.636,0.049,0
SMIM10L1,0,0.5814202812061205,0.542,0,0
UQCR10,0,0.5809343726449145,0.958,0.501,0
ZNF518A,0,0.5751390530445087,0.526,0,0
MZT2B,0,0.5741727567644305,0.882,0.374,0
CMTM3,0,0.5697907779104947,0.61,0.069,0
RPS25,0,0.5684320805700085,1,0.956,0
KHDRBS1,0,0.5671380711743971,0.857,0.29,0
TMEM165,0,0.5667647103667209,0.607,0.05,0
MAF1,0,0.5591798593675033,0.601,0.046,0
RPL34,0,0.5586311961801282,1,0.993,0
BRK1,0,0.5448544636622217,0.98,0.657,0
UQCR11,0,0.5382733175388865,0.944,0.503,0
NDUFA1,0,0.538175493314931,0.891,0.346,0
GGNBP2,0,0.5378822508637289,0.498,0,0
CRTAP,0,0.5370043552122988,0.687,0.138,0
ZNHIT3,0,0.535354511712539,0.514,0,0
SDF4,0,0.5330451677659472,0.522,0.013,0
CLTB,0,0.5327726001884088,0.534,0.028,0
AKR7A2,0,0.5312972825568424,0.584,0.042,0
SERINC2,0,0.530960336861232,0.555,0.054,0
SH3BGRL3,0,0.5305373039076795,0.901,0.445,0
IL11RA,0,0.5305284015830134,0.685,0.182,0
RPL26,0,0.5289905420691401,1,0.99,0
ATP5F1E,0,0.5281327991302474,0.997,0.817,0
ACBD6,0,0.5277639287016082,0.524,0.009,0
SLIRP,0,0.5248760127000729,0.846,0.306,0
PCGF2,0,0.5183158565621334,0.489,0,0
SNRPG,0,0.51465384426279015,0.926,0.455,0
TOMM40,0,0.5144263181417009,0.528,0.024,0
IFI27L2,0,0.5065499593484657,0.627,0.138,0
HMGN1,0,0.5001142899993858,0.994,0.824,0
MZT2A,0,0.49910683673889866,0.766,0.218,0
RAMMET,0,0.49861019294692444,0.567,0.047,0
UBL5,0,0.4977408560512717,0.959,0.579,0
HIST3H2A,0,0.4965844002813677,0.371,0.002,0
PRDX5,0,0.49639611369119296,0.951,0.517,0
CTNNBIP1,0,0.4963857847182812,0.512,0.02,0
NCOA4,0,0.49446805300702273,0.469,0,0
UBE2L3,0,0.4919569847932188,0.816,0.264,0
GNB2,0,0.4905388690255669,0.704,0.15,0
MRPL52,0,0.489758345283262,0.773,0.228,0
UQCC2,0,0.4876509718798778,0.785,0.238,0
ATP5MPL,0,0.4869619753132004,0.987,0.66,0
PLEKHO1,0,0.48692835124924,0.625,0.098,0
SRSF8,0,0.4868255328547998,0.437,0,0
MRPL45,0,0.48406139271399845,0.469,0,0
LINC00632,0,0.48272038943574147,0.449,0.014,0
PDCD2,0,0.482381988405162,0.57,0.051,0
SSBP4,0,0.48164018068689257,0.682,0.146,0
HNRNPAB,0,0.47778491025497755,0.613,0.121,0
COX6B1,0,0.47546599152486646,0.984,0.635,0
NENF,0,0.4740492656250912,0.496,0.02,0
ARF6,0,0.4739351818059178,0.472,0.024,0
ARL6IP4,0,0.46487973069763133,0.936,0.486,0
TRIL,0,0.46461242322839574,0.344,0,0
MRPL41,0,0.4616073125447905,0.788,0.234,0
PABPN1,0,0.4587640148568627,0.679,0.188,0
NDUFB1,0,0.4586225406148725,0.76,0.234,0
PKIB,0,0.4576191089209584,0.439,0.011,0
