feature_symbol	ensembl_id	entrezgene	TenX_symbol	hgnc_symbol	chromosome	biotype	description	gc_content
MIR1302-2HG	ENSG00000243485	NA	RP11-34P13.3	MIR1302-2HG	1	lincRNA	MIR1302-2 host gene	48.84
FAM138A	ENSG00000237613	NA	FAM138A	FAM138A	1	lincRNA	family with sequence similarity 138 member A	50.26
OR4F5	ENSG00000186092	79501	OR4F5	OR4F5	1	protein_coding	olfactory receptor family 4 subfamily F member 5	32.06
AL627309.1	ENSG00000238009	NA	RP11-34P13.7	NA	1	lincRNA	NA	39.91
AL627309.3	ENSG00000239945	NA	RP11-34P13.8	NA	1	lincRNA	NA	48.75
AL627309.2	ENSG00000239906	NA	RP11-34P13.14	NA	1	antisense	NA	52.73
AL627309.4	ENSG00000241599	NA	RP11-34P13.9	NA	1	lincRNA	NA	43.24
FO538757.2	ENSG00000279928	NA	FO538757.3	NA	1	unprocessed_pseudogene	NA	59.5
FO538757.1	ENSG00000279457	NA	FO538757.2	NA	1	unprocessed_pseudogene	NA	56.54
AP006222.1	ENSG00000228463	NA	AP006222.2	NA	1	transcribed_processed_pseudogene	NA	39.98
ENSG00000236743	NA	NA	RP5-857K21.15	NA	NA	NA	NA	NA
AL732372.1	ENSG00000236601	NA	RP4-669L17.2	NA	1	lincRNA	NA	47.65
AL732372.2	ENSG00000237094	NA	RP4-669L17.10	NA	1	transcribed_unprocessed_pseudogene	NA	42.61
ENSG00000278566	NA	NA	OR4F29	NA	NA	NA	NA	NA
AL669831.3	ENSG00000230021	NA	RP5-857K21.4	NA	1	transcribed_processed_pseudogene	NA	43.1
AC114498.1	ENSG00000235146	NA	RP5-857K21.2	NA	1	lincRNA	NA	48.56
ENSG00000273547	NA	NA	OR4F16	NA	NA	NA	NA	NA
AL669831.2	ENSG00000229905	NA	RP11-206L10.4	NA	1	antisense	NA	43.19
AL669831.5	ENSG00000237491	NA	RP11-206L10.9	NA	1	lincRNA	NA	40.42
FAM87B	ENSG00000177757	NA	FAM87B	FAM87B	1	lincRNA	family with sequence similarity 87 member B	48.52
LINC00115	ENSG00000225880	NA	LINC00115	LINC00115	1	lincRNA	long intergenic non-protein coding RNA 115	52.7
FAM41C	ENSG00000230368	NA	FAM41C	FAM41C	1	lincRNA	family with sequence similarity 41 member C	48.14
AL645608.7	ENSG00000272438	NA	RP11-54O7.16	NA	1	lincRNA	NA	61.47
AL645608.3	ENSG00000230699	NA	RP11-54O7.1	NA	1	lincRNA	NA	58.54
AL645608.5	ENSG00000241180	NA	RP11-54O7.2	NA	1	lincRNA	NA	58.93
AL645608.1	ENSG00000223764	NA	RP11-54O7.3	NA	1	lincRNA	NA	61.68
SAMD11	ENSG00000187634	148398	SAMD11	SAMD11	1	protein_coding	sterile alpha motif domain containing 11	66.58
NOC2L	ENSG00000188976	26155	NOC2L	NOC2L	1	protein_coding	NOC2 like nucleolar associated transcriptional repressor	59.55
KLHL17	ENSG00000187961	339451	KLHL17	KLHL17	1	protein_coding	kelch like family member 17	67.87
PLEKHN1	ENSG00000187583	84069	PLEKHN1	PLEKHN1	1	protein_coding	pleckstrin homology domain containing N1	62.65
PERM1	ENSG00000187642	84808	PERM1	PERM1	1	protein_coding	PPARGC1 and ESRR induced regulator, muscle 1	67.76
AL645608.8	ENSG00000272512	NA	RP11-54O7.17	NA	1	lincRNA	NA	66.16
HES4	ENSG00000188290	57801	HES4	HES4	1	protein_coding	hes family bHLH transcription factor 4	74.32
ISG15	ENSG00000187608	9636	ISG15	ISG15	1	protein_coding	ISG15 ubiquitin-like modifier	56.43
AL645608.2	ENSG00000224969	NA	RP11-54O7.11	NA	1	antisense	NA	44.7
AGRN	ENSG00000188157	375790	AGRN	AGRN	1	protein_coding	agrin	65.71
AL645608.9	ENSG00000273443	NA	RP11-54O7.18	NA	1	lincRNA	NA	65.12
RNF223	ENSG00000237330	401934	RNF223	RNF223	1	protein_coding	ring finger protein 223	65.44
C1orf159	ENSG00000131591	54991	C1orf159	C1orf159	1	protein_coding	chromosome 1 open reading frame 159	54.65
LINC01342	ENSG00000223823	NA	LINC01342	LINC01342	1	lincRNA	long intergenic non-protein coding RNA 1342	65
AL390719.2	ENSG00000272141	NA	RP11-465B22.8	NA	1	lincRNA	NA	65.75
TTLL10-AS1	ENSG00000205231	NA	TTLL10-AS1	TTLL10-AS1	1	antisense	TTLL10 antisense RNA 1	61.03
TTLL10	ENSG00000162571	254173	TTLL10	TTLL10	1	protein_coding	tubulin tyrosine ligase like 10	54.75
TNFRSF18	ENSG00000186891	8784	TNFRSF18	TNFRSF18	1	protein_coding	TNF receptor superfamily member 18	67.46
TNFRSF4	ENSG00000186827	7293	TNFRSF4	TNFRSF4	1	protein_coding	TNF receptor superfamily member 4	70.39
SDF4	ENSG00000078808	51150	SDF4	SDF4	1	protein_coding	stromal cell derived factor 4	61.35
B3GALT6	ENSG00000176022	126792	B3GALT6	B3GALT6	1	protein_coding	beta-1,3-galactosyltransferase 6	64.03
C1QTNF12	ENSG00000184163	388581	FAM132A	C1QTNF12	1	protein_coding	C1q and TNF related 12	69.35
AL162741.1	ENSG00000260179	NA	RP5-902P8.12	NA	1	lincRNA	NA	55.71
UBE2J2	ENSG00000160087	118424	UBE2J2	UBE2J2	1	protein_coding	ubiquitin conjugating enzyme E2 J2	56.33
LINC01786	ENSG00000230415	NA	RP5-902P8.10	LINC01786	1	lincRNA	long intergenic non-protein coding RNA 1786	50.06
SCNN1D	ENSG00000162572	6339	SCNN1D	SCNN1D	1	protein_coding	sodium channel epithelial 1 delta subunit	65.93
ACAP3	ENSG00000131584	116983	ACAP3	ACAP3	1	protein_coding	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	67.3
PUSL1	ENSG00000169972	126789	PUSL1	PUSL1	1	protein_coding	pseudouridylate synthase like 1	66.76
INTS11	ENSG00000127054	54973	CPSF3L	INTS11	1	protein_coding	integrator complex subunit 11	60.46
CPTP	ENSG00000224051	80772	CPTP	CPTP	1	protein_coding	ceramide-1-phosphate transfer protein	65.26
TAS1R3	ENSG00000169962	83756	TAS1R3	TAS1R3	1	protein_coding	taste 1 receptor member 3	66.74
DVL1	ENSG00000107404	1855	DVL1	DVL1	1	protein_coding	dishevelled segment polarity protein 1	66.25
MXRA8	ENSG00000162576	54587	MXRA8	MXRA8	1	protein_coding	matrix remodeling associated 8	65.3
AURKAIP1	ENSG00000175756	54998	AURKAIP1	AURKAIP1	1	protein_coding	aurora kinase A interacting protein 1	66.87
CCNL2	ENSG00000221978	81669	CCNL2	CCNL2	1	protein_coding	cyclin L2	51.37
MRPL20	ENSG00000242485	55052	MRPL20	MRPL20	1	protein_coding	mitochondrial ribosomal protein L20	53.09
AL391244.3	ENSG00000272455	NA	RP4-758J18.13	NA	1	lincRNA	NA	49.44
ANKRD65	ENSG00000235098	441869	ANKRD65	ANKRD65	1	protein_coding	ankyrin repeat domain 65	66.51
AL391244.2	ENSG00000225905	NA	RP4-758J18.7	NA	1	antisense	NA	66.57
TMEM88B	ENSG00000205116	643965	TMEM88B	TMEM88B	1	protein_coding	transmembrane protein 88B	70.6
LINC01770	ENSG00000225285	NA	RP4-758J18.10	LINC01770	1	lincRNA	long intergenic non-protein coding RNA 1770	66.84
VWA1	ENSG00000179403	64856	VWA1	VWA1	1	protein_coding	von Willebrand factor A domain containing 1	66.36
ATAD3C	ENSG00000215915	219293	ATAD3C	ATAD3C	1	protein_coding	ATPase family, AAA domain containing 3C	56.98
ATAD3B	ENSG00000160072	83858	ATAD3B	ATAD3B	1	protein_coding	ATPase family, AAA domain containing 3B	58.83
ATAD3A	ENSG00000197785	55210	ATAD3A	ATAD3A	1	protein_coding	ATPase family, AAA domain containing 3A	59.87
TMEM240	ENSG00000205090	339453	TMEM240	TMEM240	1	protein_coding	transmembrane protein 240	66.02
SSU72	ENSG00000160075	29101	SSU72	SSU72	1	protein_coding	SSU72 homolog, RNA polymerase II CTD phosphatase	53.87
AL645728.1	ENSG00000215014	NA	RP5-832C2.5	NA	1	lincRNA	NA	48.88
ENSG00000279244	NA	NA	AL645728.1	NA	NA	NA	NA	NA
FNDC10	ENSG00000228594	643988	C1orf233	FNDC10	1	protein_coding	fibronectin type III domain containing 10	70.31
AL691432.2	ENSG00000272106	NA	RP11-345P4.9	NA	1	antisense	NA	57.36
MIB2	ENSG00000197530	142678	MIB2	MIB2	1	protein_coding	mindbomb E3 ubiquitin protein ligase 2	66.41
MMP23B	ENSG00000189409	8510	MMP23B	MMP23B	1	protein_coding	matrix metallopeptidase 23B	70.43
CDK11B	ENSG00000248333	984	CDK11B	CDK11B	1	protein_coding	cyclin dependent kinase 11B	51.91
FO704657.1	ENSG00000272004	NA	RP11-345P4.10	NA	1	antisense	NA	49.3
SLC35E2B	ENSG00000189339	728661	SLC35E2B	SLC35E2B	1	protein_coding	solute carrier family 35 member E2B	53.52
AL691432.1	ENSG00000269737	NA	RP11-345P4.7	NA	1	transcribed_processed_pseudogene	NA	51.62
CDK11A	ENSG00000008128	728642	CDK11A	CDK11A	1	protein_coding	cyclin dependent kinase 11A	51.99
SLC35E2A	ENSG00000215790	9906	SLC35E2	SLC35E2A	1	protein_coding	solute carrier family 35 member E2A	52.17
NADK	ENSG00000008130	65220	NADK	NADK	1	protein_coding	NAD kinase	53.7
GNB1	ENSG00000078369	2782	GNB1	GNB1	1	protein_coding	G protein subunit beta 1	46.7
AL109917.1	ENSG00000231050	NA	RP1-140A9.1	NA	1	antisense	NA	65.32
CALML6	ENSG00000169885	163688	CALML6	CALML6	1	protein_coding	calmodulin like 6	63.04
TMEM52	ENSG00000178821	339456	TMEM52	TMEM52	1	protein_coding	transmembrane protein 52	67.46
CFAP74	ENSG00000142609	85452	CFAP74	CFAP74	1	protein_coding	cilia and flagella associated protein 74	55.65
AL391845.2	ENSG00000233542	NA	RP11-547D24.1	NA	1	antisense	NA	51.68
GABRD	ENSG00000187730	2563	GABRD	GABRD	1	protein_coding	gamma-aminobutyric acid type A receptor delta subunit	62.58
AL391845.1	ENSG00000226969	NA	RP11-547D24.3	NA	1	antisense	NA	64.4
PRKCZ	ENSG00000067606	5590	PRKCZ	PRKCZ	1	protein_coding	protein kinase C zeta	56.44
AL590822.2	ENSG00000271806	NA	RP5-892K4.1	NA	1	antisense	NA	55.74
PRKCZ-AS1	ENSG00000182873	NA	RP11-181G12.2	PRKCZ-AS1	1	antisense	PRKCZ antisense RNA 1	57.78
FAAP20	ENSG00000162585	199990	FAAP20	FAAP20	1	protein_coding	Fanconi anemia core complex associated protein 20	60.96
AL590822.1	ENSG00000234396	NA	RP11-181G12.4	NA	1	lincRNA	NA	57.52
SKI	ENSG00000157933	6497	SKI	SKI	1	protein_coding	SKI proto-oncogene	57.48
MORN1	ENSG00000116151	79906	MORN1	MORN1	1	protein_coding	MORN repeat containing 1	57.29
RER1	ENSG00000157916	11079	RER1	RER1	1	protein_coding	retention in endoplasmic reticulum sorting receptor 1	53.95
PEX10	ENSG00000157911	5192	PEX10	PEX10	1	protein_coding	peroxisomal biogenesis factor 10	61.52
PLCH2	ENSG00000149527	9651	PLCH2	PLCH2	1	protein_coding	phospholipase C eta 2	64.62
AL139246.1	ENSG00000224387	NA	RP3-395M20.2	NA	1	antisense	NA	64.55
AL139246.4	ENSG00000229393	NA	RP3-395M20.3	NA	1	antisense	NA	64.91
PANK4	ENSG00000157881	55229	PANK4	PANK4	1	protein_coding	pantothenate kinase 4	60.69
HES5	ENSG00000197921	388585	HES5	HES5	1	protein_coding	hes family bHLH transcription factor 5	68.29
AL139246.5	ENSG00000272449	NA	RP3-395M20.12	NA	1	lincRNA	NA	63.15
TNFRSF14-AS1	ENSG00000238164	NA	RP3-395M20.8	TNFRSF14-AS1	1	antisense	TNFRSF14 antisense RNA 1	62.87
TNFRSF14	ENSG00000157873	8764	TNFRSF14	TNFRSF14	1	protein_coding	TNF receptor superfamily member 14	64.06
AL139246.3	ENSG00000228037	NA	RP3-395M20.9	NA	1	lincRNA	NA	51.11
FAM213B	ENSG00000157870	127281	FAM213B	FAM213B	1	protein_coding	family with sequence similarity 213 member B	64.59
MMEL1	ENSG00000142606	79258	MMEL1	MMEL1	1	protein_coding	membrane metalloendopeptidase like 1	54.94
AL831784.1	ENSG00000237058	NA	RP13-436F16.1	NA	1	antisense	NA	59.71
TTC34	ENSG00000215912	100287898	TTC34	TTC34	1	protein_coding	tetratricopeptide repeat domain 34	59.48
AL592464.2	ENSG00000233234	NA	RP11-740P5.2	NA	1	lincRNA	NA	51.84
AL592464.1	ENSG00000231630	NA	RP11-740P5.3	NA	1	lincRNA	NA	60.32
ACTRT2	ENSG00000169717	140625	ACTRT2	ACTRT2	1	protein_coding	actin related protein T2	61.51
LINC00982	ENSG00000177133	NA	LINC00982	LINC00982	1	antisense	long intergenic non-protein coding RNA 982	61.79
PRDM16	ENSG00000142611	63976	PRDM16	PRDM16	1	protein_coding	PR/SET domain 16	57.58
AL008733.1	ENSG00000226286	NA	RP1-163G9.2	NA	1	antisense	NA	58.24
AL590438.1	ENSG00000272235	NA	RP11-22L13.1	NA	1	lincRNA	NA	54.23
ARHGEF16	ENSG00000130762	27237	ARHGEF16	ARHGEF16	1	protein_coding	Rho guanine nucleotide exchange factor 16	63.08
AL512413.1	ENSG00000272088	NA	RP11-168F9.2	NA	1	lincRNA	NA	40.31
MEGF6	ENSG00000162591	1953	MEGF6	MEGF6	1	protein_coding	multiple EGF like domains 6	62.62
AL513320.1	ENSG00000238260	NA	RP11-46F15.2	NA	1	antisense	NA	61.65
TPRG1L	ENSG00000158109	127262	TPRG1L	TPRG1L	1	protein_coding	tumor protein p63 regulated 1 like	52.22
WRAP73	ENSG00000116213	49856	WRAP73	WRAP73	1	protein_coding	WD repeat containing, antisense to TP73	55.25
TP73	ENSG00000078900	7161	TP73	TP73	1	protein_coding	tumor protein p73	59.52
AL136528.1	ENSG00000227589	NA	RP5-1092A11.5	NA	1	antisense	NA	48.83
AL136528.2	ENSG00000235131	NA	RP5-1092A11.2	NA	1	antisense	NA	59.84
TP73-AS1	ENSG00000227372	NA	TP73-AS1	TP73-AS1	1	transcribed_unitary_pseudogene	TP73 antisense RNA 1	54.46
CCDC27	ENSG00000162592	148870	CCDC27	CCDC27	1	protein_coding	coiled-coil domain containing 27	53.23
SMIM1	ENSG00000235169	388588	SMIM1	SMIM1	1	protein_coding	small integral membrane protein 1 (Vel blood group)	64.96
LRRC47	ENSG00000130764	57470	LRRC47	LRRC47	1	protein_coding	leucine rich repeat containing 47	54.71
AL365330.1	ENSG00000272153	NA	RP1-286D6.5	NA	1	antisense	NA	53.86
CEP104	ENSG00000116198	9731	CEP104	CEP104	1	protein_coding	centrosomal protein 104	47.92
DFFB	ENSG00000169598	1677	DFFB	DFFB	1	protein_coding	DNA fragmentation factor subunit beta	51.66
C1orf174	ENSG00000198912	339448	C1orf174	C1orf174	1	protein_coding	chromosome 1 open reading frame 174	49.32
LINC01134	ENSG00000236423	NA	LINC01134	LINC01134	1	lincRNA	long intergenic non-protein coding RNA 1134	56.6
LINC01346	ENSG00000233304	NA	LINC01346	LINC01346	1	lincRNA	long intergenic non-protein coding RNA 1346	51.5
LINC01345	ENSG00000226374	NA	RP13-614K11.2	LINC01345	1	lincRNA	long intergenic non-protein coding RNA 1345	55.3
LINC01777	ENSG00000235054	NA	RP5-1166F10.1	LINC01777	1	lincRNA	long intergenic non-protein coding RNA 1777	43.57
Z98747.1	ENSG00000227169	NA	RP1-37J18.1	NA	1	lincRNA	NA	46.47
LINC01646	ENSG00000232596	NA	RP1-37J18.2	LINC01646	1	lincRNA	long intergenic non-protein coding RNA 1646	44.37
AJAP1	ENSG00000196581	55966	AJAP1	AJAP1	1	protein_coding	adherens junctions associated protein 1	52.37
AL691497.1	ENSG00000231510	NA	RP11-542C10.1	NA	1	lincRNA	NA	41
Z98259.1	ENSG00000260972	NA	RP1-58B11.1	NA	1	lincRNA	NA	51.62
AL365255.1	ENSG00000236948	NA	RP11-154H17.1	NA	1	lincRNA	NA	46.87
NPHP4	ENSG00000131697	261734	NPHP4	NPHP4	1	protein_coding	nephrocystin 4	49.94
KCNAB2	ENSG00000069424	8514	KCNAB2	KCNAB2	1	protein_coding	potassium voltage-gated channel subfamily A regulatory beta subunit 2	56.05
CHD5	ENSG00000116254	26038	CHD5	CHD5	1	protein_coding	chromodomain helicase DNA binding protein 5	56.7
RPL22	ENSG00000116251	6146	RPL22	RPL22	1	protein_coding	ribosomal protein L22	50.61
AL031847.1	ENSG00000226944	NA	RP1-120G22.11	NA	1	antisense	NA	58.13
RNF207	ENSG00000158286	388591	RNF207	RNF207	1	protein_coding	ring finger protein 207	57.32
ICMT	ENSG00000116237	23463	ICMT	ICMT	1	protein_coding	isoprenylcysteine carboxyl methyltransferase	49.59
LINC00337	ENSG00000225077	NA	LINC00337	LINC00337	1	lincRNA	long intergenic non-protein coding RNA 337	53.88
HES3	ENSG00000173673	390992	HES3	HES3	1	protein_coding	hes family bHLH transcription factor 3	65.97
GPR153	ENSG00000158292	387509	GPR153	GPR153	1	protein_coding	G protein-coupled receptor 153	60.31
ACOT7	ENSG00000097021	11332	ACOT7	ACOT7	1	protein_coding	acyl-CoA thioesterase 7	54
AL031848.2	ENSG00000271746	NA	RP1-202O8.3	NA	1	antisense	NA	63.2
HES2	ENSG00000069812	54626	HES2	HES2	1	protein_coding	hes family bHLH transcription factor 2	57.51
ESPN	ENSG00000187017	83715	ESPN	ESPN	1	protein_coding	espin	60.15
AL031848.1	ENSG00000231868	NA	RP1-202O8.2	NA	1	antisense	NA	60.86
TNFRSF25	ENSG00000215788	8718	TNFRSF25	TNFRSF25	1	protein_coding	TNF receptor superfamily member 25	59.7
PLEKHG5	ENSG00000171680	57449	PLEKHG5	PLEKHG5	1	protein_coding	pleckstrin homology and RhoGEF domain containing G5	58.85
NOL9	ENSG00000162408	79707	NOL9	NOL9	1	protein_coding	nucleolar protein 9	47.78
TAS1R1	ENSG00000173662	80835	TAS1R1	TAS1R1	1	protein_coding	taste 1 receptor member 1	52.51
ZBTB48	ENSG00000204859	3104	ZBTB48	ZBTB48	1	protein_coding	zinc finger and BTB domain containing 48	57.78
KLHL21	ENSG00000162413	9903	KLHL21	KLHL21	1	protein_coding	kelch like family member 21	54.46
PHF13	ENSG00000116273	148479	PHF13	PHF13	1	protein_coding	PHD finger protein 13	54.99
THAP3	ENSG00000041988	90326	THAP3	THAP3	1	protein_coding	THAP domain containing 3	56.77
DNAJC11	ENSG00000007923	55735	DNAJC11	DNAJC11	1	protein_coding	DnaJ heat shock protein family (Hsp40) member C11	46.6
LINC01672	ENSG00000228750	NA	RP11-242F24.1	LINC01672	1	lincRNA	long intergenic non-protein coding RNA 1672	48.21
CAMTA1-DT	ENSG00000237436	NA	RP11-312B8.1	CAMTA1-DT	1	antisense	CAMTA1 divergent transcript	59.77
CAMTA1	ENSG00000171735	23261	CAMTA1	CAMTA1	1	protein_coding	calmodulin binding transcription activator 1	48
AL512330.1	ENSG00000237365	NA	RP11-334N17.1	NA	1	antisense	NA	55.27
Z97987.1	ENSG00000237728	NA	RP3-453P22.2	NA	1	antisense	NA	53.05
AL365194.1	ENSG00000225126	NA	RP4-549F15.1	NA	1	antisense	NA	48.15
